Metric Name,Metric Type,Help Text,Labels,Optional/Feature-Gated
kueue_admission_attempts_total,Counter,"The total number of attempts to admit workloads. Each admission attempt might try to admit more than one workload. The label 'result' can have the following values: - 'success' means that at least one workload was admitted, - 'inadmissible' means that no workload was admitted","result,replica_role",No
kueue_admission_attempt_duration_seconds,Histogram,"The latency of an admission attempt. The label 'result' can have the following values: - 'success' means that at least one workload was admitted, - 'inadmissible' means that no workload was admitted","result,replica_role",No
kueue_admission_cycle_preemption_skips,Gauge,"The number of Workloads in the ClusterQueue that got preemption candidates but had to be skipped because other ClusterQueues needed the same resources in the same cycle","cluster_queue,replica_role",No
kueue_build_info,Gauge,"Kueue build information. Always 1, labeled by git version, git commit, build date, go version, compiler, platform","git_version,git_commit,build_date,go_version,compiler,platform",No
kueue_pending_workloads,Gauge,"The number of pending workloads, per 'cluster_queue' and 'status'. 'status' can have the following values: - 'active' means that the workloads are in the admission queue, - 'inadmissible' means there was a failed admission attempt for these workloads","cluster_queue,status,replica_role",No
kueue_local_queue_pending_workloads,Gauge,"The number of pending workloads, per 'local_queue' and 'status'. 'status' can have the following values: - 'active' means that the workloads are in the admission queue, - 'inadmissible' means there was a failed admission attempt for these workloads","name,namespace,status,replica_role",Yes - LocalQueueMetrics feature
kueue_quota_reserved_workloads_total,Counter,"The total number of quota reserved workloads per 'cluster_queue'","cluster_queue,priority_class,replica_role",No
kueue_local_queue_quota_reserved_workloads_total,Counter,"The total number of quota reserved workloads per 'local_queue'","name,namespace,priority_class,replica_role",Yes - LocalQueueMetrics feature
kueue_quota_reserved_wait_time_seconds,Histogram,"The time between a workload was created or requeued until it got quota reservation, per 'cluster_queue'","cluster_queue,priority_class,replica_role",No
kueue_local_queue_quota_reserved_wait_time_seconds,Histogram,"The time between a workload was created or requeued until it got quota reservation, per 'local_queue'","name,namespace,priority_class,replica_role",Yes - LocalQueueMetrics feature
kueue_pods_ready_to_evicted_time_seconds,Histogram,"The number of seconds between a workload's pods being ready and eviction workloads per 'cluster_queue', with detailed eviction reason labels","cluster_queue,reason,underlying_cause,replica_role",No
kueue_admitted_workloads_total,Counter,"The total number of admitted workloads per 'cluster_queue'","cluster_queue,priority_class,replica_role",No
kueue_local_queue_admitted_workloads_total,Counter,"The total number of admitted workloads per 'local_queue'","name,namespace,priority_class,replica_role",Yes - LocalQueueMetrics feature
kueue_admission_wait_time_seconds,Histogram,"The time between a workload was created or requeued until admission, per 'cluster_queue'","cluster_queue,priority_class,replica_role",No
kueue_local_queue_admission_wait_time_seconds,Histogram,"The time between a workload was created or requeued until admission, per 'local_queue'","name,namespace,priority_class,replica_role",Yes - LocalQueueMetrics feature
kueue_ready_wait_time_seconds,Histogram,"The time between a workload was created or requeued until ready, per 'cluster_queue'","cluster_queue,priority_class,replica_role",Yes - optional_wait_for_pods_ready
kueue_local_queue_ready_wait_time_seconds,Histogram,"The time between a workload was created or requeued until ready, per 'local_queue'","name,namespace,priority_class,replica_role",Yes - optional_wait_for_pods_ready + LocalQueueMetrics
kueue_admitted_until_ready_wait_time_seconds,Histogram,"The time between a workload was admitted until ready, per 'cluster_queue'","cluster_queue,priority_class,replica_role",Yes - optional_wait_for_pods_ready
kueue_local_queue_admitted_until_ready_wait_time_seconds,Histogram,"The time between a workload was admitted until ready, per 'local_queue'","name,namespace,priority_class,replica_role",Yes - optional_wait_for_pods_ready + LocalQueueMetrics
kueue_admission_checks_wait_time_seconds,Histogram,"The time from when a workload got the quota reservation until admission, per 'cluster_queue'","cluster_queue,priority_class,replica_role",No
kueue_local_queue_admission_checks_wait_time_seconds,Histogram,"The time from when a workload got the quota reservation until admission, per 'local_queue'","name,namespace,priority_class,replica_role",Yes - LocalQueueMetrics feature
kueue_evicted_workloads_total,Counter,"The number of evicted workloads per 'cluster_queue', with detailed eviction reason labels","cluster_queue,reason,underlying_cause,priority_class,replica_role",No
kueue_local_queue_evicted_workloads_total,Counter,"The number of evicted workloads per 'local_queue', with detailed eviction reason labels","name,namespace,reason,underlying_cause,priority_class,replica_role",Yes - LocalQueueMetrics feature
kueue_evicted_workloads_once_total,Counter,"The number of unique workload evictions per 'cluster_queue', with detailed reason labels","cluster_queue,reason,detailed_reason,priority_class,replica_role",No
kueue_preempted_workloads_total,Counter,"The number of preempted workloads per 'preempting_cluster_queue', with preemption reason labels","preempting_cluster_queue,reason,replica_role",No
kueue_reserving_active_workloads,Gauge,"The number of Workloads that are reserving quota, per 'cluster_queue'","cluster_queue,replica_role",No
kueue_local_queue_reserving_active_workloads,Gauge,"The number of Workloads that are reserving quota, per 'localQueue'","name,namespace,replica_role",Yes - LocalQueueMetrics feature
kueue_admitted_active_workloads,Gauge,"The number of admitted Workloads that are active (unsuspended and not finished), per 'cluster_queue'","cluster_queue,replica_role",No
kueue_local_queue_admitted_active_workloads,Gauge,"The number of admitted Workloads that are active (unsuspended and not finished), per 'localQueue'","name,namespace,replica_role",Yes - LocalQueueMetrics feature
kueue_cluster_queue_status,Gauge,"Reports 'cluster_queue' with its 'status' (with possible values 'pending', 'active' or 'terminated'). For a ClusterQueue, the metric only reports a value of 1 for one of the statuses","cluster_queue,status,replica_role",No
kueue_local_queue_status,Gauge,"Reports 'localQueue' with its 'active' status (with possible values 'True', 'False', or 'Unknown'). For a LocalQueue, the metric only reports a value of 1 for one of the statuses","name,namespace,active,replica_role",Yes - LocalQueueMetrics feature
kueue_cluster_queue_resource_reservation,Gauge,"Reports the cluster_queue's total resource reservation within all the flavors","cohort,cluster_queue,flavor,resource,replica_role",Yes - optional_clusterqueue_resources
kueue_cluster_queue_resource_usage,Gauge,"Reports the cluster_queue's total resource usage within all the flavors","cohort,cluster_queue,flavor,resource,replica_role",Yes - optional_clusterqueue_resources
